,ETH,LTC,BIT,DOGE
2016,9.778,3.788,568.492,0.00023546
2017,223.915,50.032,4006.033,0.001600507
2018,483.507,105.776,7572.298,0.004350427
2019,181.77,69.667,7395.246,0.00256
2020,307.338,56.335,11125.798,0.002746
