trade_date,open_price,close_price
2015-08-07,2.83162,2.77212
2015-08-08,2.79376,0.753325
2015-08-09,0.706136,0.701897
2015-08-10,0.713989,0.708448
2015-08-11,0.708087,1.06786
2015-08-12,1.05875,1.21744
2015-08-13,1.22224,1.82767
2015-08-14,1.81092,1.82787
2015-08-15,1.80289,1.6889
2015-08-16,1.68435,1.56603
2015-08-17,1.58119,1.20361
2015-08-18,1.2153,1.08705
2015-08-19,1.16693,1.25886
2015-08-20,1.25118,1.46492
2015-08-21,1.47752,1.39529
2015-08-22,1.39629,1.37923
2015-08-23,1.375,1.35259
2015-08-24,1.34559,1.23127
2015-08-25,1.22861,1.14019
2015-08-26,1.13279,1.15998
2015-08-27,1.16981,1.1477
2015-08-28,1.14766,1.19138
2015-08-29,1.19353,1.18255
2015-08-30,1.18299,1.31927
2015-08-31,1.32138,1.35824
2015-09-01,1.35348,1.35161
2015-09-02,1.35157,1.29479
2015-09-03,1.29519,1.26493
2015-09-04,1.26493,1.27441
2015-09-05,1.28056,1.33881
2015-09-06,1.33801,1.29583
2015-09-07,1.2959,1.24665
2015-09-08,1.24665,1.24243
2015-09-09,1.23935,1.20651
2015-09-10,1.20761,1.16577
2015-09-11,1.16497,0.982978
2015-09-12,0.987228,1.03874
2015-09-13,1.04178,0.936003
2015-09-14,0.940566,0.875622
2015-09-15,0.875189,0.94441
2015-09-16,0.941977,0.907175
2015-09-17,0.906865,0.874231
2015-09-18,0.874574,0.853685
2015-09-19,0.849603,0.882391
2015-09-20,0.881191,0.938445
2015-09-21,0.941496,0.919047
2015-09-22,0.919337,0.901796
2015-09-23,0.90356,0.893406
2015-09-24,0.896796,0.81361
2015-09-25,0.820031,0.736223
2015-09-26,0.73763,0.785964
2015-09-27,0.791277,0.720839
2015-09-28,0.723715,0.582886
2015-09-29,0.579414,0.661146
2015-09-30,0.661192,0.738644
2015-10-01,0.734307,0.690215
2015-10-02,0.683732,0.678574
2015-10-03,0.678783,0.687171
2015-10-04,0.686343,0.668379
2015-10-05,0.666784,0.628643
2015-10-06,0.622218,0.650645
2015-10-07,0.650515,0.609388
2015-10-08,0.609501,0.621716
2015-10-09,0.655084,0.650628
2015-10-10,0.641187,0.627857
2015-10-11,0.627461,0.634963
2015-10-12,0.634515,0.62603
2015-10-13,0.627943,0.607655
2015-10-14,0.61224,0.522968
2015-10-15,0.523278,0.561878
2015-10-16,0.562593,0.536495
2015-10-17,0.534117,0.547178
2015-10-18,0.547913,0.517734
2015-10-19,0.517621,0.489014
2015-10-20,0.489629,0.434829
2015-10-21,0.431589,0.447329
2015-10-22,0.444988,0.567702
2015-10-23,0.56637,0.539657
2015-10-24,0.539681,0.56359
2015-10-25,0.563207,0.616039
2015-10-26,0.619743,0.731317
2015-10-27,0.70889,0.869641
2015-10-28,0.870938,1.00248
2015-10-29,1.00525,1.20666
2015-10-30,1.2092,1.04122
2015-10-31,1.04658,0.916627
2015-11-01,0.920847,1.05567
2015-11-02,1.05797,0.989789
2015-11-03,0.994568,1.01336
2015-11-04,1.01065,0.89905
2015-11-05,0.900699,0.895637
2015-11-06,0.904772,0.926032
2015-11-07,0.923732,0.927974
2015-11-08,0.915661,1.02747
2015-11-09,1.03253,0.999278
2015-11-10,1.00126,0.934348
2015-11-11,0.941296,0.791829
2015-11-12,0.796455,0.895711
2015-11-13,0.907722,0.904096
2015-11-14,0.905469,0.888812
2015-11-15,0.891217,0.906368
2015-11-16,0.906166,0.928962
2015-11-17,0.924948,1.00798
2015-11-18,0.993214,0.993319
2015-11-19,0.988713,0.955532
2015-11-20,0.955735,0.92492
2015-11-21,0.928758,0.97614
2015-11-22,0.979765,0.968018
2015-11-23,0.967493,0.946969
2015-11-24,0.946442,0.900191
2015-11-25,0.893827,0.863537
2015-11-26,0.863273,0.884183
2015-11-27,0.8821,0.867951
2015-11-28,0.868102,0.915703
2015-11-29,0.914144,0.878614
2015-11-30,0.879951,0.873119
2015-12-01,0.878316,0.8748
2015-12-02,0.873171,0.82121
2015-12-03,0.818546,0.812143
2015-12-04,0.812082,0.840041
2015-12-05,0.841195,0.862438
2015-12-06,0.866417,0.8355
2015-12-07,0.836322,0.811264
2015-12-08,0.806024,0.822118
2015-12-09,0.824454,0.792167
2015-12-10,0.79559,0.840396
2015-12-11,0.839995,0.929762
2015-12-12,0.931196,0.976973
2015-12-13,0.971538,0.952884
2015-12-14,0.95662,0.993022
2015-12-15,0.990589,1.01415
2015-12-16,1.01711,0.991182
2015-12-17,0.993043,0.940701
2015-12-18,0.938327,0.920127
2015-12-19,0.921524,0.908072
2015-12-20,0.90824,0.903885
2015-12-21,0.906065,0.900771
