date_part,bitcoin,litecoin,etherium,doge
2015,305.611,3.311,0.942,0.000133
2016,568.492,3.788,9.778,0.000235
2017,4006.033,50.032,223.915,0.001600
2018,7572.298,105.776,483.507,0.004350
2019,7395.246,69.667,181.77,0.002562
2020,11125.798,56.335,307.338,0.002746
2021,35930.482,148.633,1308.603,0.022705
